MESE;ANNO;STIPENDIO;RIPETIZIONI;CEDOLE;VENDITA;RIMBORSI;REGALI;TOTALE;SALDO;;;;;;;;;;;;;;;;;;
gennaio;2023;2.456,00 €;75,00 €;;;150,00 €;20,00 €;2.701,00 €;2.552,96 €;;;;;;;;;;;;;;;;;;
febbraio;2023;1.790,00 €;30,00 €;;;200,00 €;0,00 €;2.020,00 €;743,48 €;;;;;;;;;;;;;;;;;;
marzo;2023;1.715,00 €;45,00 €;;;150,00 €;171,50 €;2.081,50 €;1.750,69 €;;;;;;;;;;;;;;;;;;
aprile;2023;1.697,97 €;190,00 €;;;150,00 €;57,20 €;2.095,17 €;2.444,18 €;;;;;;;;;;;;;;;;;;
maggio;2023;1.968,30 €;60,00 €;;;130,00 €;0,00 €;2.158,30 €;3.411,11 €;;;;;;;;;;;;;;;;;;
giugno;2023;1.854,70 €;120,00 €;;;350,00 €;0,00 €;2.324,70 €;3.052,07 €;;;;;;;;;;;;;;;;;;
luglio;2023;1.778,87 €;120,00 €;;;391,39 €;150,00 €;2.440,26 €;2.617,29 €;;;;;;;;;;;;;;;;;;
agosto;2023;1.758,90 €;90,00 €;;;0,00 €;0,00 €;1.848,90 €;2.431,97 €;;;;;;;;;;;;;;;;;;
settembre;2023;1.793,20 €;0,00 €;;;41,90 €;0,00 €;1.835,10 €;1.940,84 €;;;;;;;;;;;;;;;;;;
ottobre;2023;1.787,00 €;30,00 €;;;;0,00 €;1.817,00 €;2.195,62 €;;;;;;;;;;;;;;;;;;
novembre;2023;1.792,76 €;22,00 €;;;85,00 €;0,00 €;1.899,76 €;2.841,55 €;;;;;;;;;;;;;;;;;;
dicembre;2023;3.439,38 €;80,00 €;16,86 €;;85,00 €;0,00 €;3.621,24 €;4.398,28 €;;;;;;;;;;;;;;;;;;
Totale anno;2023;23.832,08 €;862,00 €;16,86 €;0,00 €;1.733,29 €;398,70 €;26.842,93 €;;;;;;;;;;;;;;;;;;;
gennaio;2024;1.797,11 €;0,00 €;;;0,00 €;0,00 €;1.797,11 €;4.276,87 €;;;;;;;;;;;;;;;;;;
febbraio;2024;1.893,14 €;15,00 €;;;0,00 €;0,00 €;1.908,14 €;4.658,86 €;;;;;;;;;;;;;;;;;;
marzo;2024;1.812,23 €;20,00 €;;;0,00 €;0,00 €;1.832,23 €;4.726,79 €;;;;;;;;;;;;;;;;;;
aprile;2024;1.766,61 €;;;490,00 €;;;2.256,61 €;2.832,93 €;;;;;;;;;;;;;;;;;;
maggio;2024;1.875,16 €;15,00 €;;;65,00 €;0,00 €;1.955,16 €;2.508,46 €;;;;;;;;;;;;;;;;;;
giugno;2024;1.822,10 €;20,00 €;;;;0,00 €;1.842,10 €;2.940,08 €;;;;;;;;;;;;;;;;;;
luglio;2024;1.881,96 €;;;;110,50 €;;1.992,46 €;2.742,88 €;;;;;;;;;;;;;;;;;;
agosto;2024;1.820,00 €;30,00 €;;;0,00 €;0,00 €;1.850,00 €;2.986,15 €;;;;;;;;;;;;;;;;;;
settembre;2024;1.821,35 €;0,00 €;;;;0,00 €;1.821,35 €;2.986,94 €;;;;;;;;;;;;;;;;;;
ottobre;2024;1.816,55 €;;;;38,00 €;0,00 €;1.854,55 €;1.905,33 €;;;;;;;;;;;;;;;;;;
novembre;2024;3.823,57 €;;;;;0,00 €;3.823,57 €;3.813,07 €;;;;;;;;;;;;;;;;;;
dicembre;2024;2.777,22 €;45,00 €;;;;0,00 €;2.822,22 €;4.080,27 €;;;;;;;;;;;;;;;;;;
Totale anno;2024;24.907,00 €;145,00 €;0,00 €;490,00 €;213,50 €;0,00 €;25.755,50 €;;;;;;;;;;;;;;;;;;;
gennaio;2025;2.846,00 €;0,00 €;;;211,40 €;0,00 €;3.057,40 €;3.627,55 €;;;;;;;;;;;;;;;;;;
febbraio;2025;2.374,00 €;;;;0,00 €;0,00 €;2.374,00 €;3.908,73 €;;;;;;;;;;;;;;;;;;
marzo;2025;2.443,00 €;;;;0,00 €;0,00 €;2.443,00 €;4.449,09 €;;;;;;;;;;;;;;;;;;
aprile;2025;2.371,40 €;80,00 €;60,00 €;0,00 €;;;2.511,40 €;4.355,11 €;;;;;;;;;;;;;;;;;;
maggio;2025;2.075,00 €;;;;;0,00 €;2.075,00 €;3.602,80 €;;;;;;;;;;;;;;;;;;
giugno;2025;2.629,00 €;;;;;0,00 €;2.629,00 €;4.402,21 €;;;;;;;;;;;;;;;;;;
luglio;2025;2.102,00 €;;;;;120,00 €;2.222,00 €;4.015,02 €;;;;;;;;;;;;;;;;;;
agosto;2025;772,00 €;;;;0,00 €;0,00 €;772,00 €;3.166,90 €;;;;;;;;;;;;;;;;;;
settembre;2025;2.212,00 €;0,00 €;;;250,00 €;0,00 €;2.462,00 €;2.312,07 €;;;;;;;;;;;;;;;;;;
ottobre;2025;2.262,00 €;20,00 €;;50,00 €;;0,00 €;2.332,00 €;1.217,05 €;;;;;;;;;;;;;;;;;;
novembre;2025;2.329,00 €;;;;;0,00 €;2.329,00 €;2.145,27 €;;;;;;;;;;;;;;;;;;
dicembre;2025;4.631,00 €;;;;56,10 €;0,00 €;4.687,10 €;4.614,22 €;;;;;;;;;;;;;;;;;;
