MESE;ANNO;CATEGORIA;NOME;IMPORTO
Gennaio;2023;ELISA;CENA;36,40 €
Gennaio;2023;ABBIGLIAMENTO;ACG;10,00 €
gennaio;2023;ABBIGLIAMENTO;ARGENTINA;20,00 €
gennaio;2023;ABBIGLIAMENTO;PANTALONI;11,00 €
gennaio;2023;ABBIGLIAMENTO;STONE ISLAND;50,00 €
gennaio;2023;ABBIGLIAMENTO;MAGLIONE;66,00 €
gennaio;2023;ABBIGLIAMENTO;SCARPE;107,95 €
gennaio;2023;ABBIGLIAMENTO;CAPPOTTO;118,00 €
gennaio;2023;VIAGGI;SCI;381,00 €
gennaio;2023;GITE;PINGUINI;30,00 €
febbraio;2023;ABBIGLIAMENTO;PANTALONI SCI;120,00 €
febbraio;2023;ABBIGLIAMENTO;TORCIA;9,99 €
febbraio;2023;VIAGGI;ASSICURAZIONE;89,76 €
febbraio;2023;VIAGGI;VOLO GIAPPONE;997,00 €
febbraio;2023;GITE;CIASPOLE;20,00 €
febbraio;2023;GITE;AUTOSTRADA;8,30 €
febbraio;2023;SPORT;PESI;54,00 €
febbraio;2023;IMPREVISTI;PARAURTI;1.600,00 €
marzo;2023;ALTRO;RUSS;5,00 €
marzo;2023;ALTRO;LEGO;24,00 €
marzo;2023;ALTRO;;8,40 €
marzo;2023;ALTRO;APE;8,50 €
marzo;2023;ALTRO;FOODSPRING;20,00 €
marzo;2023;SPORT;SPAL;15,00 €
marzo;2023;SPORT;CALZET;7,00 €
marzo;2023;ABBIGLIAMENTO;CUFFIE;20,00 €
aprile;2023;ABBIGLIAMENTO;PATEK;69,05 €
aprile;2023;ABBIGLIAMENTO;maglia;40,00 €
aprile;2023;ABBIGLIAMENTO;costme nike;20,00 €
aprile;2023;ABBIGLIAMENTO;felpa nike;21,00 €
aprile;2023;ABBIGLIAMENTO;pantaloni tomm;45,00 €
aprile;2023;ABBIGLIAMENTO;scarpe nike;49,00 €
aprile;2023;ABBIGLIAMENTO;camicia tommy;48,00 €
aprile;2023;ELISA;Pranzo mare;50,40 €
aprile;2023;GITE;libro aperto;6,20 €
aprile;2023;GITE;ape;12,33 €
aprile;2023;SPORT;BIRRA;11,00 €
aprile;2023;SPORT;CALCETTO;4,00 €
aprile;2023;ALTRO;MESSA;1,00 €
aprile;2023;ALTRO;PASQUETTA;10,00 €
aprile;2023;ALTRO;TORNEO;3,00 €
aprile;2023;ALTRO;MC;16,80 €
maggio;2023;ALTRO;ricarica;16,00 €
maggio;2023;ALTRO;;5,00 €
maggio;2023;ALTRO;CENA CTP;28,50 €
maggio;2023;ALTRO;TORNEO;7,00 €
maggio;2023;ABBIGLIAMENTO;BIRKENSTOK;41,50 €
giugno;2023;ABBIGLIAMENTO;Nike ACG;125,30 €
giugno;2023;SPORT;CALCETTO;16,00 €
giugno;2023;ALTRO;pizza;6,00 €
giugno;2023;ALTRO;altro;436,10 €
giugno;2023;ALTRO;la riserva;9,30 €
giugno;2023;ALTRO;moonswatch;278,30 €
luglio;2023;ALTRO;festa;105,00 €
agosto;2023;VIAGGI;elba casa;332,00 €
agosto;2023;VIAGGI;traghetto;54,60 €
agosto;2023;VIAGGI;elba;348,43 €
agosto;2023;VIAGGI;volo madeira;164,88 €
agosto;2023;VIAGGI;benza;42,22 €
agosto;2023;VIAGGI;dorigoni;49,90 €
agosto;2023;VIAGGI;autostrada;6,80 €
agosto;2023;VIAGGI;park;7,00 €
agosto;2023;ABBIGLIAMENTO;ore;8,99 €
agosto;2023;ABBIGLIAMENTO;pantaloni P&B;29,99 €
agosto;2023;ABBIGLIAMENTO;pantaloni H&M;13,99 €
agosto;2023;ABBIGLIAMENTO;camicia;9,00 €
agosto;2023;ABBIGLIAMENTO;occhiali;34,70 €
agosto;2023;ABBIGLIAMENTO;scarpe calcio;113,74 €
settembre;2023;ABBIGLIAMENTO;vestito;70,00 €
settembre;2023;ABBIGLIAMENTO;primark;7,00 €
settembre;2023;ABBIGLIAMENTO;dunk;120,00 €
settembre;2023;SPORT;pizza calcio;10,00 €
settembre;2023;SPORT;pesi;12,49 €
settembre;2023;SPORT;spal;12,60 €
settembre;2023;SPORT;atl;6,10 €
settembre;2023;SPORT;calcetto;8,50 €
settembre;2023;IMPREVISTI;multa;50,00 €
