MESE;ANNO;BAR;REGAZ;ELISA;LAVORO;ABBIGLIAMENTO;VIAGGI;GITE;SPORT;AUTO;BENZINA;FORMAZIONE;CHIAVE;CURA;SALUTE;REGALI;CASA;AFFITTO;ABBONAMENTI;CONTO DEPOSIT;OBBLIGAZIONI;AZIONARIO;IMPREVISTI;ALTRO;DEBITO;TOTALE;
gennaio;2023;4,50 €;66,80 €;36,40 €;14,50 €;382,95 €;381,00 €;30,00 €;0,00 €;505,00 €;200,00 €;;22,00 €;;;105,00 €;0,00 €;0,00 €;0,00 €;;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;1.748,15 €;
febbraio;2023;4,00 €;98,90 €;38,10 €;9,03 €;129,99 €;1.086,76 €;28,30 €;54,00 €;500,00 €;222,50 €;;20,00 €;20,00 €;4,90 €;13,00 €;0,00 €;0,00 €;0,00 €;;0,00 €;0,00 €;1.600,00 €;0,00 €;0,00 €;3.829,48 €;
marzo;2023;3,80 €;70,60 €;39,40 €;12,35 €;20,00 €;0,00 €;0,00 €;22,00 €;500,00 €;151,99 €;15,20 €;20,00 €;23,00 €;105,05 €;25,00 €;0,00 €;0,00 €;0,00 €;;0,00 €;0,00 €;0,00 €;65,90 €;0,00 €;1.074,29 €;
aprile;2023;3,70 €;141,80 €;118,85 €;5,00 €;292,05 €;0,00 €;18,53 €;15,00 €;500,00 €;198,96 €;;30,00 €;0,00 €;0,00 €;46,99 €;0,00 €;0,00 €;0,00 €;;0,00 €;0,00 €;0,00 €;30,80 €;0,00 €;1.401,68 €;
maggio;2023;2,50 €;71,20 €;60,55 €;15,85 €;41,50 €;0,00 €;0,00 €;7,00 €;758,97 €;118,80 €;;20,00 €;0,00 €;28,50 €;10,00 €;0,00 €;0,00 €;0,00 €;;0,00 €;0,00 €;0,00 €;56,50 €;0,00 €;1.191,37 €;
giugno;2023;2,50 €;128,50 €;35,00 €;2,80 €;125,30 €;0,00 €;0,00 €;16,00 €;500,00 €;92,95 €;;10,00 €;20,00 €;0,00 €;15,00 €;0,00 €;0,00 €;5,99 €;;1.000,00 €;0,00 €;0,00 €;729,70 €;0,00 €;2.683,74 €;
luglio;2023;5,50 €;35,90 €;46,90 €;4,35 €;18,80 €;1.895,10 €;0,00 €;23,50 €;500,00 €;204,00 €;;30,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;5,99 €;;0,00 €;0,00 €;0,00 €;105,00 €;0,00 €;2.875,04 €;
agosto;2023;15,00 €;54,80 €;61,50 €;3,10 €;210,41 €;1.005,83 €;0,00 €;17,00 €;500,00 €;48,80 €;;30,00 €;23,00 €;0,00 €;25,00 €;0,00 €;0,00 €;30,99 €;;0,00 €;0,00 €;0,00 €;8,79 €;0,00 €;2.034,22 €;
settembre;2023;19,10 €;82,00 €;63,74 €;7,00 €;197,00 €;0,00 €;0,00 €;49,69 €;1.592,00 €;154,31 €;;10,00 €;0,00 €;0,00 €;10,00 €;0,00 €;0,00 €;5,99 €;;0,00 €;0,00 €;100,00 €;35,40 €;0,00 €;2.326,23 €;
ottobre;2023;0,00 €;89,60 €;69,30 €;7,25 €;31,00 €;467,08 €;7,20 €;15,00 €;500,00 €;188,00 €;;30,00 €;0,00 €;29,50 €;77,30 €;0,00 €;0,00 €;5,99 €;;0,00 €;0,00 €;0,00 €;45,00 €;0,00 €;1.562,22 €;
